Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
4,1,23.35,3.025173,0.000034,19.817551
4,2,14.71,1.696971,0.633880,11.573571
4,3,13.30,1.885368,1.815798,8.667980
4,4,10.42,1.631038,1.153584,6.879371
4,5,10.25,1.679295,1.865124,5.900988
4,6,9.12,1.546072,1.412567,5.401094
4,7,10.28,2.760158,1.522084,5.132259
4,8,9.57,2.340927,1.602000,4.789744
4,9,10.39,3.145754,1.783557,4.602230
4,10,9.61,2.566529,1.755492,4.394622
4,11,9.77,2.482799,2.099733,4.314392
4,12,9.49,2.160383,2.162805,4.174195
4,13,9.78,2.213232,2.551609,4.004581
4,14,9.34,2.324878,2.192264,3.872322
4,15,9.50,2.268664,2.491180,3.737496
4,16,9.24,2.189544,2.569623,3.544761
4,17,10.30,3.323150,2.540087,3.419654
4,18,8.47,1.812489,2.342773,3.243783
4,19,8.85,2.104523,2.605608,3.152000
4,20,8.51,2.048518,2.435734,2.995034
4,21,8.91,2.385420,2.523659,2.920910
4,22,8.29,2.004992,2.420917,2.748263
4,23,8.27,1.811470,2.575325,2.725009
4,24,7.87,1.675517,2.446786,2.625241
4,25,8.37,1.930252,2.663532,2.599936
4,26,8.03,1.802067,2.524655,2.495095
4,27,8.11,1.823377,2.629870,2.472600
4,28,8.00,1.933148,2.510388,2.386691
4,29,8.12,1.834073,2.663871,2.351123
4,30,7.54,1.476556,2.518107,2.265357
4,31,8.03,1.707427,2.635187,2.257464
4,32,7.81,1.768835,2.807140,2.212919
4,33,8.34,2.226778,2.850327,2.153842
4,34,8.08,2.147863,2.748585,2.087703
4,35,7.72,1.599658,2.763149,2.177658
4,36,7.86,1.951530,2.740933,2.038448
4,37,8.68,1.524709,2.910403,2.028517
4,38,7.60,1.751011,2.675128,1.967054
4,39,8.18,2.142952,2.884851,1.955829
4,40,7.70,1.706230,2.789892,2.017940
4,41,7.81,1.760683,2.880860,1.962179
4,42,7.45,1.569028,2.794420,1.861589
4,43,7.64,1.629505,2.906436,1.873591
4,44,7.75,1.690740,2.781412,1.973950
4,45,7.61,1.694711,2.866703,1.826479
4,46,7.78,1.921739,2.797636,1.775385
4,47,7.71,1.556763,2.910606,1.824532
4,48,7.28,1.467969,2.755508,1.811548
