N,Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
10059,4,1,0.54,0.022487,0.000007,0.014778
10059,4,2,0.58,0.029912,0.002793,0.000374
10059,4,3,0.59,0.031947,0.002826,0.000512
10059,4,4,0.61,0.028778,0.017753,0.001763
10059,4,5,0.79,0.042122,0.000413,0.000419
10059,4,6,0.83,0.055400,0.000968,0.000571
10059,4,7,0.86,0.071990,0.000784,0.000619
10059,4,8,0.87,0.078626,0.018376,0.000745
10059,4,9,0.97,0.090240,0.000782,0.000726
10059,4,10,1.06,0.105656,0.003819,0.000892
10059,4,11,1.01,0.124611,0.001131,0.000791
10059,4,12,1.31,0.134602,0.000888,0.000725
10059,4,13,1.15,0.151876,0.000960,0.000855
10059,4,14,1.07,0.152334,0.001170,0.000864
10059,4,15,1.24,0.197047,0.000918,0.000900
10059,4,16,1.34,0.180410,0.020168,0.001012
10059,4,17,1.26,0.330329,0.003198,0.001015
10059,4,18,1.12,0.165063,0.003096,0.000790
10059,4,19,1.28,0.198020,0.001108,0.001367
10059,4,20,1.43,0.236037,0.004117,0.001000
10059,4,21,1.26,0.192705,0.001427,0.001050
10059,4,22,1.35,0.194940,0.001882,0.000855
10059,4,23,1.35,0.189766,0.001485,0.000968
10059,4,24,1.31,0.173896,0.001471,0.001327
10059,4,25,1.41,0.163514,0.000974,0.001040
10059,4,26,2.78,0.207329,0.001561,0.001325
10059,4,27,1.47,0.278044,0.001132,0.001609
10059,4,28,1.44,0.215311,0.001397,0.001573
10059,4,29,1.51,0.180590,0.001602,0.001403
10059,4,30,1.90,0.393179,0.001568,0.001167
10059,4,31,1.40,0.185689,0.001581,0.001143
10059,4,32,1.35,0.161344,0.026196,0.000998
10059,4,33,1.25,0.197616,0.001586,0.001090
10059,4,34,1.35,0.198946,0.001383,0.001354
10059,4,35,1.38,0.214031,0.001492,0.001260
10059,4,36,1.48,0.223319,0.001634,0.001218
10059,4,37,1.48,0.214172,0.001410,0.001210
10059,4,38,1.36,0.201476,0.001540,0.001203
10059,4,39,1.45,0.208103,0.001597,0.001165
10059,4,40,1.34,0.211534,0.001756,0.001170
10059,4,41,1.48,0.199070,0.001706,0.001255
10059,4,42,1.60,0.195977,0.001800,0.001532
10059,4,43,1.54,0.209157,0.001454,0.001288
10059,4,44,1.39,0.156696,0.001462,0.003401
10059,4,45,1.54,0.210587,0.001747,0.001466
10059,4,46,2.57,0.211027,0.001649,0.001286
10059,4,47,1.62,0.322329,0.003695,0.001687
10059,4,48,1.51,0.212353,0.001545,0.001511
