Nodes,Cores,Total_Time_srun,IO_Time,Comm_Time,CPU_Time
4,1,25.16,3.795822,0.000026,19.853570
4,2,14.85,1.646065,0.625443,11.590612
4,6,9.74,2.240064,1.345343,5.371101
4,11,9.28,1.911396,2.110016,4.312862
4,12,9.68,2.428127,2.168852,4.161807
4,13,9.82,2.195833,2.517784,4.071279
4,18,8.35,1.791327,2.334726,3.241587
4,23,9.29,1.766290,2.550287,2.713959
4,24,7.82,1.607327,2.469019,2.598928
4,25,8.08,1.677419,2.625064,2.613679
4,30,7.84,1.675595,2.573413,2.315092
4,35,7.64,1.625590,2.741310,2.136858
4,36,7.64,1.651155,2.804721,2.034689
4,37,7.57,1.533358,2.835958,2.033147
4,42,7.35,1.511808,2.804029,1.866793
4,47,7.49,1.431045,2.932133,1.832018
4,48,7.52,1.439319,2.798801,1.764130
