Program,Unroll,Total_Time,Compute_Time,Compute_Pct,Sync_Comm_Time,Sync_Comm_Pct,IO_Time,IO_Pct,Imbalance_Pct,Parallel_Eff,Type
hw2a_unroll16,16,37.6881,34.3252,91.1,0.0001,0.0,3.3426,8.9,0.08,91.08,hw2a
hw2a_unroll1,1,79.5596,76.1800,95.8,0.0001,0.0,3.3509,4.2,0.07,95.75,hw2a
hw2a_unroll2,2,49.8061,46.4174,93.2,0.0001,0.0,3.3373,6.7,0.23,93.20,hw2a
hw2a_unroll4,4,35.5212,31.9552,90.0,0.0001,0.0,3.5537,10.0,0.06,89.96,hw2a
hw2a_unroll8,8,30.1789,26.8212,88.9,0.0001,0.0,3.3457,11.1,0.06,88.87,hw2a
hw2b_unroll16,16,37.7679,36.5923,96.9,0.0678,0.2,1.1077,2.9,9.02,96.89,hw2b
hw2b_unroll1,1,89.6693,87.2319,97.3,1.4537,1.6,0.9837,1.1,6.50,97.28,hw2b
hw2b_unroll2,2,48.4537,46.8148,96.6,0.5314,1.1,1.1075,2.3,8.95,96.62,hw2b
hw2b_unroll4,4,32.4892,31.3143,96.4,0.0692,0.2,1.1057,3.4,10.44,96.38,hw2b
hw2b_unroll8,8,29.7594,28.5765,96.0,0.0706,0.2,1.1124,3.7,11.47,96.02,hw2b
