Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_final,Baseline(Final),p11k1,1980.037,1152.951,77.713,749.373
hw3-2_final,Baseline(Final),p12k1,2773.079,1467.998,98.312,1206.770
hw3-2_final,Baseline(Final),p13k1,3241.258,1959.739,111.482,1170.037
hw3-2_final,Baseline(Final),p14k1,3979.998,2328.898,125.809,1525.291
hw3-2_final,Baseline(Final),p15k1,4965.945,2958.631,154.280,1853.034
hw3-2_final,Baseline(Final),p16k1,5950.734,3622.097,165.333,2163.304
hw3-2_final,Baseline(Final),p17k1,6615.199,4315.198,195.083,2104.918
hw3-2_final,Baseline(Final),p18k1,7789.778,4860.100,202.124,2727.553
hw3-2_final,Baseline(Final),p19k1,8482.768,6074.575,231.951,2176.242
hw3-2_final,Baseline(Final),p20k1,9583.354,6990.783,265.576,2326.994
hw3-2_final,Baseline(Final),p21k1,11187.180,8192.017,282.401,2712.762
hw3-2_final,Baseline(Final),p22k1,12681.267,9409.336,310.335,2961.597
hw3-2_final,Baseline(Final),p23k1,14335.054,10825.649,337.676,3171.729
hw3-2_final,Baseline(Final),p24k1,17308.545,11961.983,377.079,4969.483
hw3-2_final,Baseline(Final),p25k1,18734.671,14133.685,406.912,4194.073
hw3-2_final,Baseline(Final),p26k1,20543.621,15771.316,429.189,4343.116
hw3-2_final,Baseline(Final),p27k1,23326.262,16912.201,472.448,5941.613
hw3-2_final,Baseline(Final),p28k1,24632.639,19278.467,508.397,4845.776
hw3-2_final,Baseline(Final),p29k1,27603.435,20583.259,527.539,6492.637
hw3-2_final,Baseline(Final),p30k1,30504.686,24298.205,572.599,5633.882
hw3-2_final,Baseline(Final),p31k1,33331.695,25598.543,619.886,7113.266
hw3-2_final,Baseline(Final),p32k1,37610.569,29964.943,650.482,6995.145
hw3-2_final,Baseline(Final),p33k1,39528.965,31601.113,700.393,7227.459
hw3-2_final,Baseline(Final),p34k1,43513.027,33758.469,730.379,9024.180
hw3-2_final,Baseline(Final),p35k1,47208.675,36427.320,781.748,9999.607
hw3-2_final,Baseline(Final),p36k1,56250.980,40897.191,826.793,14526.996
hw3-2_final,Baseline(Final),p37k1,55107.264,42606.317,862.591,11638.356
hw3-2_final,Baseline(Final),p38k1,57867.232,48818.409,918.062,8130.760
hw3-2_final,Baseline(Final),p39k1,62490.959,51756.830,956.347,9777.782
