Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_16,16,p11k1,1983.770,1171.699
hw3-2_unroll_16,16,p12k1,2818.570,1475.518
hw3-2_unroll_16,16,p13k1,3270.915,1995.145
hw3-2_unroll_16,16,p14k1,4109.394,2387.656
hw3-2_unroll_16,16,p15k1,5084.526,3027.119
hw3-2_unroll_16,16,p16k1,5900.249,3738.199
hw3-2_unroll_16,16,p17k1,6761.706,4401.072
hw3-2_unroll_16,16,p18k1,7858.980,5002.041
hw3-2_unroll_16,16,p19k1,8271.637,5971.329
hw3-2_unroll_16,16,p20k1,9737.900,7153.005
hw3-2_unroll_16,16,p21k1,11333.081,8334.488
hw3-2_unroll_16,16,p22k1,12805.881,9585.676
hw3-2_unroll_16,16,p23k1,14420.913,10886.915
hw3-2_unroll_16,16,p24k1,20128.471,12009.361
hw3-2_unroll_16,16,p25k1,18542.891,14090.507
hw3-2_unroll_16,16,p26k1,19788.364,15606.126
hw3-2_unroll_16,16,p27k1,24892.977,17269.609
hw3-2_unroll_16,16,p28k1,25378.545,19910.282
hw3-2_unroll_16,16,p29k1,29813.040,21750.139
hw3-2_unroll_16,16,p30k1,30873.942,25015.202
hw3-2_unroll_16,16,p31k1,34684.517,26536.985
hw3-2_unroll_16,16,p32k1,36740.616,29190.872
hw3-2_unroll_16,16,p33k1,40515.650,32018.710
hw3-2_unroll_16,16,p34k1,46021.327,36006.753
hw3-2_unroll_16,16,p35k1,50935.036,39502.185
hw3-2_unroll_16,16,p36k1,55820.165,43983.480
hw3-2_unroll_16,16,p37k1,61201.253,47227.913
hw3-2_unroll_16,16,p38k1,58417.491,48370.307
hw3-2_unroll_16,16,p39k1,70506.481,52705.290
hw3-2_unroll_16,16,p40k1,69759.226,58623.261
hw3-2_unroll_32,32,p11k1,2449.859,1190.611
hw3-2_unroll_32,32,p12k1,3195.905,1498.101
hw3-2_unroll_32,32,p13k1,3286.082,1964.600
hw3-2_unroll_32,32,p14k1,4115.725,2385.883
hw3-2_unroll_32,32,p15k1,5280.464,2887.617
hw3-2_unroll_32,32,p16k1,5964.733,3675.507
hw3-2_unroll_32,32,p17k1,6615.008,4194.023
hw3-2_unroll_32,32,p18k1,7935.961,4859.102
hw3-2_unroll_32,32,p19k1,8328.135,5905.972
hw3-2_unroll_32,32,p20k1,9962.200,7159.223
hw3-2_unroll_32,32,p21k1,11399.730,8144.293
hw3-2_unroll_32,32,p22k1,12668.829,9421.223
hw3-2_unroll_32,32,p23k1,14481.949,10566.928
hw3-2_unroll_32,32,p24k1,17430.950,11971.964
hw3-2_unroll_32,32,p25k1,19086.317,14491.897
hw3-2_unroll_32,32,p26k1,19806.417,15354.473
hw3-2_unroll_32,32,p27k1,23627.144,16631.141
hw3-2_unroll_32,32,p28k1,24345.902,18767.114
hw3-2_unroll_32,32,p29k1,28918.713,21395.835
hw3-2_unroll_32,32,p30k1,31338.490,24559.095
hw3-2_unroll_32,32,p31k1,34477.042,25857.440
hw3-2_unroll_32,32,p32k1,36532.592,28442.381
hw3-2_unroll_32,32,p33k1,39404.190,31085.646
hw3-2_unroll_32,32,p34k1,43379.107,33843.935
hw3-2_unroll_32,32,p35k1,53353.799,38407.084
hw3-2_unroll_32,32,p36k1,52895.445,39456.046
hw3-2_unroll_32,32,p37k1,54639.294,41877.598
hw3-2_unroll_32,32,p38k1,56801.220,47321.911
hw3-2_unroll_32,32,p39k1,61348.319,51282.435
hw3-2_unroll_32,32,p40k1,71578.649,58305.622
hw3-2_unroll_4,4,p11k1,2457.728,1245.541
hw3-2_unroll_4,4,p12k1,3322.684,1618.302
hw3-2_unroll_4,4,p13k1,3563.253,2189.871
hw3-2_unroll_4,4,p14k1,4553.946,2530.364
hw3-2_unroll_4,4,p15k1,5700.510,3125.509
hw3-2_unroll_4,4,p16k1,6380.207,3798.022
hw3-2_unroll_4,4,p17k1,6846.143,4493.095
hw3-2_unroll_4,4,p18k1,7958.667,4934.109
hw3-2_unroll_4,4,p19k1,9196.515,6798.350
hw3-2_unroll_4,4,p20k1,10530.197,7528.598
hw3-2_unroll_4,4,p21k1,12066.775,8985.963
hw3-2_unroll_4,4,p22k1,13748.315,10399.357
hw3-2_unroll_4,4,p23k1,15120.853,11253.772
hw3-2_unroll_4,4,p24k1,17885.674,12478.118
hw3-2_unroll_4,4,p25k1,19610.253,14734.981
hw3-2_unroll_4,4,p26k1,20590.132,16222.462
hw3-2_unroll_4,4,p27k1,25658.178,17954.224
hw3-2_unroll_4,4,p28k1,27507.155,21198.717
hw3-2_unroll_4,4,p29k1,30256.399,22179.008
