Version,RegisterTiling,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_reg_off,off,p11k1,2056.094,1201.928
hw3-2_reg_off,off,p12k1,2924.524,1501.180
hw3-2_reg_off,off,p13k1,3322.269,1986.816
hw3-2_reg_off,off,p14k1,4086.600,2401.612
hw3-2_reg_off,off,p15k1,5032.328,3080.775
hw3-2_reg_off,off,p16k1,5859.109,3638.961
hw3-2_reg_off,off,p17k1,6778.722,4482.076
hw3-2_reg_off,off,p18k1,8067.785,5066.169
hw3-2_reg_off,off,p19k1,8525.186,6128.872
hw3-2_reg_off,off,p20k1,9928.737,7263.749
hw3-2_reg_off,off,p21k1,11410.265,8463.791
hw3-2_reg_off,off,p22k1,13240.325,9852.353
hw3-2_reg_off,off,p23k1,14493.206,10844.831
hw3-2_reg_off,off,p24k1,17969.303,12563.342
hw3-2_reg_off,off,p25k1,19586.757,14942.913
hw3-2_reg_off,off,p26k1,20087.532,15542.214
hw3-2_reg_off,off,p27k1,23356.261,16795.194
hw3-2_reg_off,off,p28k1,26344.023,20750.099
hw3-2_reg_off,off,p29k1,28949.869,21369.659
hw3-2_reg_off,off,p30k1,30097.636,24217.714
hw3-2_reg_off,off,p31k1,36494.065,28019.827
hw3-2_reg_off,off,p32k1,39056.254,31380.657
hw3-2_reg_off,off,p33k1,40208.513,31642.339
hw3-2_reg_off,off,p34k1,46616.971,37134.977
hw3-2_reg_off,off,p35k1,52525.859,41053.970
hw3-2_reg_off,off,p36k1,53265.923,41206.551
hw3-2_reg_off,off,p37k1,56827.337,44032.524
hw3-2_reg_off,off,p38k1,58784.726,49483.146
hw3-2_reg_off,off,p39k1,62987.808,53064.983
hw3-2_reg_off,off,p40k1,74055.687,63108.824
hw3-2_reg_on,on,p11k1,2532.043,1297.938
hw3-2_reg_on,on,p12k1,2931.596,1610.682
hw3-2_reg_on,on,p13k1,3489.186,2158.241
hw3-2_reg_on,on,p14k1,4433.389,2434.034
hw3-2_reg_on,on,p15k1,5231.010,3204.354
hw3-2_reg_on,on,p16k1,6304.422,3940.122
hw3-2_reg_on,on,p17k1,7024.968,4714.500
hw3-2_reg_on,on,p18k1,8226.045,5320.290
hw3-2_reg_on,on,p19k1,8999.703,6199.612
hw3-2_reg_on,on,p20k1,10401.119,7681.909
hw3-2_reg_on,on,p21k1,11571.026,8328.080
hw3-2_reg_on,on,p22k1,13045.345,9747.706
hw3-2_reg_on,on,p23k1,14755.557,10843.983
hw3-2_reg_on,on,p24k1,17717.639,12499.362
hw3-2_reg_on,on,p25k1,19568.607,14613.877
hw3-2_reg_on,on,p26k1,19926.987,15603.516
hw3-2_reg_on,on,p27k1,24682.760,17573.702
hw3-2_reg_on,on,p28k1,25833.963,19873.257
hw3-2_reg_on,on,p29k1,29514.011,21525.360
hw3-2_reg_on,on,p30k1,30715.089,24290.159
hw3-2_reg_on,on,p31k1,35795.719,25728.653
hw3-2_reg_on,on,p32k1,37030.128,29509.203
hw3-2_reg_on,on,p33k1,40221.654,32138.388
hw3-2_reg_on,on,p34k1,45717.019,35974.170
hw3-2_reg_on,on,p35k1,48522.394,36653.253
hw3-2_reg_on,on,p36k1,53434.889,41796.219
hw3-2_reg_on,on,p37k1,57655.311,44876.445
hw3-2_reg_on,on,p38k1,60674.795,48964.616
hw3-2_reg_on,on,p39k1,64185.759,53937.921
hw3-2_reg_on,on,p40k1,70256.645,59361.692
