Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p11k1,18534.208,17634.796
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p12k1,24761.023,23280.902
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p13k1,29896.065,28592.162
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p14k1,36743.421,35011.889
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p15k1,49222.089,47270.621
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p16k1,59620.191,57285.003
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p17k1,67291.641,64919.138
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p18k1,80203.092,77275.197
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p19k1,94550.709,92004.866
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p20k1,116635.450,113923.915
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p21k1,137437.170,134301.191
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p11k1,41362.911,40359.147
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p12k1,53241.828,51859.184
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p13k1,70428.049,69014.068
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p14k1,86863.896,84934.619
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p15k1,117650.956,115608.886
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p11k1,11883.545,10977.533
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p12k1,15550.353,14185.914
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p13k1,21204.234,19751.266
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p14k1,24179.189,22369.818
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p15k1,30708.875,28450.043
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p16k1,36929.466,34654.219
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p17k1,44364.448,42090.283
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p18k1,49646.058,46624.515
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p19k1,62147.888,59620.105
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p20k1,71758.149,68690.874
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p21k1,84695.133,81717.159
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p22k1,94912.518,91593.651
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p23k1,112732.450,109131.047
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p11k1,14374.708,13249.037
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p12k1,21526.114,20081.508
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p13k1,27900.664,26554.904
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p14k1,31208.499,29251.593
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p15k1,42806.590,40774.562
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p16k1,54408.476,52163.734
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p17k1,60276.799,57814.241
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p18k1,68700.196,65808.016
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p19k1,91332.973,88892.149
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p20k1,98214.946,95385.041
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p21k1,121767.730,118698.698
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p22k1,126264.957,122805.500
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p11k1,12213.741,11242.268
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p12k1,16705.389,15381.324
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p13k1,21835.145,20402.676
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p14k1,26644.648,24841.882
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p15k1,32788.093,30746.220
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p16k1,41659.731,39393.084
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p17k1,49432.656,46835.267
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p18k1,53376.639,50402.988
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p19k1,69466.733,67041.935
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p20k1,80673.022,78045.921
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p21k1,96034.064,92920.769
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p22k1,108194.610,104949.890
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p23k1,110532.725,106811.188
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p11k1,5958.234,4962.372
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p12k1,8152.892,6678.694
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p13k1,10850.353,9538.977
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p14k1,13276.487,11620.166
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p15k1,17683.409,15572.333
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p16k1,22174.284,19966.174
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p17k1,26581.379,24293.694
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p18k1,30264.400,27425.465
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p19k1,35621.796,33287.848
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p20k1,43113.913,40429.208
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p21k1,52999.443,49933.736
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p22k1,57612.995,54395.855
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p23k1,64272.857,60785.882
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p24k1,74066.983,68719.827
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p25k1,89547.561,84807.735
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p26k1,90938.071,86421.055
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p27k1,103111.404,96690.769
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p28k1,112900.054,107339.848
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p30k1,143783.778,137508.448
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p11k1,4383.413,3367.432
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p12k1,5406.197,4144.709
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p13k1,7354.865,5764.816
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p14k1,8674.613,7010.606
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p15k1,11426.484,9443.336
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p16k1,14591.145,12392.691
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p17k1,17619.974,15299.150
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p18k1,20346.570,17472.246
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p19k1,23737.490,21383.091
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p20k1,28784.639,26197.452
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p21k1,33071.839,30039.692
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p22k1,37348.707,34198.668
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p23k1,42274.000,38784.721
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p24k1,50396.610,44790.499
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p25k1,57718.158,53149.814
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p26k1,61015.912,56734.404
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p27k1,69596.439,62753.655
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p28k1,75848.141,70489.246
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p29k1,85251.824,78056.384
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p30k1,92714.324,86556.823
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p31k1,103447.571,95477.187
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p32k1,114095.188,106706.140
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p33k1,125329.766,117239.422
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p11k1,3316.765,2129.502
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p12k1,4191.800,2643.196
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p13k1,4892.848,3520.613
