Version,MemoryType,BlockFactor,Coarsening,Workload,GrandTotalTime_ms,TotalComputeTime_ms
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,714895.059,691499.680
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,369547.640,361775.904
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,660712.306,629856.427
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,758782.652,731478.983
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,719557.196,689015.412
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,1002910.293,940378.086
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,1090433.869,997452.184
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,1228780.991,1050702.560
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,1336349.127,1181167.136
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,789102.046,613497.539
