Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p11k1,20114.302,19234.975
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p12k1,26707.203,25431.097
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p13k1,30728.447,29255.136
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p14k1,41165.351,39442.701
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p15k1,49111.338,47137.488
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p16k1,62577.861,60295.250
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p17k1,73722.898,71085.534
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p18k1,78547.609,75584.264
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p19k1,100412.288,97671.298
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p20k1,120095.898,117492.114
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p21k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p22k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p23k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p24k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p25k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p26k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p27k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p28k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p29k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p30k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p31k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p32k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p33k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p34k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p35k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p36k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p37k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p38k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p39k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p40k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p11k1,43686.492,42809.433
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p12k1,57905.899,56633.922
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p13k1,77950.064,76575.335
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p14k1,89540.223,87824.071
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p15k1,111715.845,109336.718
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p16k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p17k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p18k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p19k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p20k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p21k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p22k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p23k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p24k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p25k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p26k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p27k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p28k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p29k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p30k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p31k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p32k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p33k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p34k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p35k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p36k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p37k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p38k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p39k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p40k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p11k1,11992.659,11093.987
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p12k1,15857.876,14587.801
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p13k1,20308.305,19030.222
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p14k1,25022.229,23206.222
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p15k1,32093.488,30024.279
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p16k1,37634.513,35363.848
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p17k1,44893.053,42444.127
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p18k1,49695.854,46510.665
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p19k1,60664.784,58089.729
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p20k1,73699.198,70978.696
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p21k1,90419.473,87208.595
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p22k1,104715.314,101082.118
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p23k1,108397.133,104768.561
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p24k1,130337.507,124473.541
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p25k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p26k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p27k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p28k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p29k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p30k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p31k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p32k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p33k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p34k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p35k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p36k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p37k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p38k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p39k1,-1,-1
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,p40k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p11k1,14461.215,13437.969
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p12k1,20546.702,19089.890
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p13k1,24853.368,23419.047
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p14k1,31376.887,29675.603
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p15k1,43940.320,41489.568
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p16k1,54371.112,52156.553
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p17k1,62546.075,59935.711
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p18k1,69044.338,65887.208
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p19k1,82993.777,80205.366
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p20k1,98800.155,95912.230
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p21k1,113014.567,109719.953
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p22k1,127347.936,124001.857
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p23k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p24k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p25k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p26k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p27k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p28k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p29k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p30k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p31k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p32k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p33k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p34k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p35k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p36k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p37k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p38k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p39k1,-1,-1
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,p40k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p11k1,12532.901,11551.111
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p12k1,17569.906,16063.489
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p13k1,21854.249,20287.906
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p14k1,25507.029,23628.828
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p15k1,35130.412,32951.955
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p16k1,41522.589,38941.211
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p17k1,51427.297,48634.313
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p18k1,54998.492,51949.113
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p19k1,71978.235,69188.394
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p20k1,88754.031,85912.584
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p21k1,103956.484,100716.657
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p22k1,100840.739,96825.607
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p23k1,117124.798,113456.436
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p24k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p25k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p26k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p27k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p28k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p29k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p30k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p31k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p32k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p33k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p34k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p35k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p36k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p37k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p38k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p39k1,-1,-1
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,p40k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p11k1,6056.428,4963.691
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p12k1,8336.878,6668.889
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p13k1,10959.866,9531.704
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p14k1,13426.894,11625.663
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p15k1,18013.607,15579.507
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p16k1,22711.698,19967.970
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p17k1,26861.140,24339.975
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p18k1,30443.803,27323.208
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p19k1,35750.729,33218.541
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p20k1,43444.671,40311.299
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p21k1,54283.184,50109.470
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p22k1,57983.900,54327.780
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p23k1,64548.692,61060.584
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p24k1,75681.665,68745.961
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p25k1,91166.616,84966.389
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p26k1,92524.382,87168.541
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p27k1,103580.710,96688.905
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p28k1,114002.941,106938.697
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p29k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p30k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p31k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p32k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p33k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p34k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p35k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p36k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p37k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p38k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p39k1,-1,-1
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,p40k1,-1,-1
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p11k1,4332.124,3480.539
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p12k1,5870.466,4156.018
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p13k1,7095.823,5745.476
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p14k1,8866.187,7010.140
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p15k1,11760.511,9427.935
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p16k1,14673.454,12393.939
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p17k1,17735.252,15292.679
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p18k1,20478.279,17448.642
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p19k1,23794.844,21426.344
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p20k1,30690.029,26242.106
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p21k1,33916.644,30160.381
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p22k1,38160.844,34079.266
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p23k1,42329.249,38489.381
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p24k1,50006.393,44311.500
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p25k1,57039.445,52337.788
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p26k1,60590.479,55170.878
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p27k1,69889.724,62767.039
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p28k1,77533.883,70194.952
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p29k1,84705.400,77172.090
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,p30k1,93751.669,86483.320
