Version,MemoryType,BlockFactor,Coarsening,Workload,GrandTotalTime_ms,TotalComputeTime_ms
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,603183.195,582629.857
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,380798.523,373179.479
hw3-2_global_bf32_noncoarsen_1024,Global,32,No,1024,805731.386,768862.391
hw3-2_global_bf32_noncoarsen_256,Global,32,No,256,743296.452,714930.955
hw3-2_global_bf64_coarsen_4096,Global,64,Yes,4096,743197.162,710107.604
hw3-2_sm_bf16_coarsen_256,SharedMem,16,Yes,256,869777.804,803536.774
hw3-2_sm_bf16_noncoarsen_256,SharedMem,16,No,256,1094173.054,989290.893
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,1234076.587,1051505.692
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,1355483.275,1197193.427
hw3-2_sm_bf64_coarsen_4096,SharedMem,64,Yes,4096,791053.723,609641.355
