Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_final,Baseline(Final),p11k1,2012.716,1158.263,76.317,778.136
hw3-2_final,Baseline(Final),p12k1,2653.337,1416.138,93.574,1143.625
hw3-2_final,Baseline(Final),p13k1,3241.806,1924.527,107.318,1209.961
hw3-2_final,Baseline(Final),p14k1,3922.455,2270.590,126.943,1524.922
hw3-2_final,Baseline(Final),p15k1,4937.290,2899.896,142.441,1894.953
hw3-2_final,Baseline(Final),p16k1,5741.474,3525.236,167.110,2049.128
hw3-2_final,Baseline(Final),p17k1,6875.101,4455.849,182.694,2236.558
hw3-2_final,Baseline(Final),p18k1,7906.906,5027.893,198.132,2680.882
hw3-2_final,Baseline(Final),p19k1,8520.142,6248.456,227.766,2043.920
hw3-2_final,Baseline(Final),p20k1,9979.554,7357.890,253.025,2368.639
hw3-2_final,Baseline(Final),p21k1,11350.911,8454.980,277.845,2618.086
hw3-2_final,Baseline(Final),p22k1,12548.474,9196.685,305.716,3046.073
hw3-2_final,Baseline(Final),p23k1,14211.846,10486.470,333.000,3392.376
hw3-2_final,Baseline(Final),p24k1,16950.725,11633.797,369.001,4947.927
hw3-2_final,Baseline(Final),p25k1,18606.346,14055.713,395.155,4155.479
hw3-2_final,Baseline(Final),p26k1,19608.048,15200.115,423.844,3984.089
hw3-2_final,Baseline(Final),p27k1,22859.114,16629.265,465.325,5764.524
hw3-2_final,Baseline(Final),p28k1,25315.878,19606.493,496.215,5213.170
hw3-2_final,Baseline(Final),p29k1,28097.475,20497.146,535.331,7064.998
hw3-2_final,Baseline(Final),p30k1,30579.427,23961.090,569.586,6048.751
hw3-2_final,Baseline(Final),p31k1,33312.992,25492.692,613.464,7206.836
hw3-2_final,Baseline(Final),p32k1,36323.997,28480.292,659.389,7184.316
hw3-2_final,Baseline(Final),p33k1,38778.364,30547.843,694.677,7535.844
hw3-2_final,Baseline(Final),p34k1,45644.334,35046.759,735.551,9862.024
