Version,RegisterTiling,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_reg_off,off,p11k1,2122.888,1277.331
hw3-2_reg_off,off,p12k1,2835.638,1590.945
hw3-2_reg_off,off,p13k1,3458.572,2121.306
hw3-2_reg_off,off,p14k1,4278.063,2543.395
hw3-2_reg_off,off,p15k1,5311.053,3235.632
hw3-2_reg_off,off,p16k1,6210.519,3908.822
hw3-2_reg_off,off,p17k1,6933.098,4652.802
hw3-2_reg_off,off,p18k1,8124.536,5078.787
hw3-2_reg_off,off,p19k1,8846.998,6530.344
hw3-2_reg_off,off,p20k1,10221.793,7446.040
hw3-2_reg_off,off,p21k1,11820.198,8809.853
hw3-2_reg_off,off,p22k1,13526.496,10184.425
hw3-2_reg_off,off,p23k1,15006.948,11398.051
hw3-2_reg_off,off,p24k1,17626.378,12702.787
hw3-2_reg_off,off,p25k1,19466.922,14812.499
hw3-2_reg_off,off,p26k1,22343.291,17509.745
hw3-2_reg_off,off,p27k1,26874.056,19882.059
hw3-2_reg_off,off,p28k1,26600.764,20884.753
hw3-2_reg_off,off,p29k1,33112.518,22369.985
hw3-2_reg_off,off,p30k1,34936.345,27246.779
hw3-2_reg_off,off,p31k1,43607.991,30492.358
hw3-2_reg_off,off,p32k1,38261.993,30374.862
hw3-2_reg_off,off,p33k1,42055.392,33668.626
hw3-2_reg_off,off,p34k1,46512.540,36763.133
hw3-2_reg_off,off,p35k1,64185.874,42054.828
hw3-2_reg_off,off,p36k1,56292.655,44355.636
hw3-2_reg_off,off,p37k1,62094.658,48415.993
hw3-2_reg_off,off,p38k1,63749.286,53704.997
hw3-2_reg_off,off,p39k1,72124.389,61438.024
hw3-2_reg_off,off,p40k1,74481.255,61864.662
hw3-2_reg_on,on,p11k1,2168.023,1138.694
hw3-2_reg_on,on,p12k1,3208.436,1443.712
hw3-2_reg_on,on,p13k1,3272.161,1910.101
hw3-2_reg_on,on,p14k1,4110.022,2316.015
hw3-2_reg_on,on,p15k1,5028.528,2868.588
hw3-2_reg_on,on,p16k1,5764.624,3504.947
hw3-2_reg_on,on,p17k1,6791.515,4258.403
hw3-2_reg_on,on,p18k1,7730.843,4711.237
hw3-2_reg_on,on,p19k1,8596.286,6000.309
hw3-2_reg_on,on,p20k1,9494.580,6914.051
hw3-2_reg_on,on,p21k1,11013.898,7933.666
hw3-2_reg_on,on,p22k1,12512.912,9246.171
hw3-2_reg_on,on,p23k1,13975.759,10290.556
hw3-2_reg_on,on,p24k1,16742.139,11621.296
hw3-2_reg_on,on,p25k1,19629.675,14548.174
hw3-2_reg_on,on,p26k1,19421.018,14879.826
hw3-2_reg_on,on,p27k1,25443.484,17741.312
hw3-2_reg_on,on,p28k1,24475.217,18727.924
hw3-2_reg_on,on,p29k1,28127.533,20565.199
hw3-2_reg_on,on,p30k1,29387.297,23069.489
hw3-2_reg_on,on,p31k1,35283.242,26691.338
hw3-2_reg_on,on,p32k1,37097.453,28408.903
hw3-2_reg_on,on,p33k1,41263.206,33096.569
hw3-2_reg_on,on,p34k1,43680.263,33784.063
hw3-2_reg_on,on,p35k1,48124.942,36550.587
hw3-2_reg_on,on,p36k1,52321.661,39381.773
hw3-2_reg_on,on,p37k1,56604.447,43606.138
hw3-2_reg_on,on,p38k1,61095.297,50392.766
hw3-2_reg_on,on,p39k1,60829.678,50586.144
hw3-2_reg_on,on,p40k1,67678.244,55981.197
