Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p11k1,18745.541,17893.165
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p12k1,23945.891,22682.866
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p13k1,31655.330,30306.769
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p14k1,38475.839,36692.465
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p15k1,53172.646,50830.080
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p16k1,68274.414,65944.551
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p17k1,79529.589,76943.985
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p18k1,89245.430,85964.559
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p19k1,102765.060,100213.590
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p20k1,114582.397,111962.887
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p21k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p22k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p23k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p24k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p25k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p26k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p27k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p28k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p29k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p30k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p31k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p32k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p33k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p34k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p35k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p36k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p37k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p38k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p39k1,-1,-1
hw3-2_global_bf32_coarsen_1024,Global,32,Yes,1024,p40k1,-1,-1
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p11k1,42835.103,41828.508
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p12k1,54601.130,53296.240
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p13k1,73501.577,71910.224
hw3-2_global_bf32_coarsen_256,Global,32,Yes,256,p14k1,90938.508,89012.245
