Executable,Testcase,Workload,TotalTime,ComputeTime,CommTime,IOTime,Phase1,Phase2,Phase3
hw3-2,c01.1,125,2.307,0.244,0.057,2.006,0.180,0.046,0.018
hw3-2,c02.1,1000,2.598,0.240,0.045,2.313,0.184,0.038,0.017
hw3-2,c03.1,8000,2.121,0.225,0.049,1.847,0.169,0.038,0.018
hw3-2,c04.1,64000,2.379,0.255,0.079,2.045,0.190,0.047,0.017
hw3-2,c05.1,512000,2.678,0.285,0.051,2.342,0.190,0.063,0.032
hw3-2,c06.1,1000000,2.586,0.317,0.057,2.212,0.210,0.076,0.032
hw3-2,c07.1,4096000,3.086,0.425,0.097,2.565,0.295,0.091,0.039
hw3-2,c08.1,33076161,4.789,0.558,0.148,4.084,0.317,0.148,0.092
hw3-2,c09.1,32768000,5.113,0.516,0.119,4.479,0.295,0.143,0.078
hw3-2,c10.1,125000000,9.769,0.652,0.228,8.889,0.345,0.173,0.135
hw3-2,c11.1,170953875,10.587,0.823,0.272,9.492,0.388,0.225,0.210
hw3-2,c12.1,125000000,11.434,0.691,0.243,10.501,0.355,0.189,0.146
hw3-2,c13.1,170953875,14.475,0.826,0.271,13.378,0.398,0.217,0.211
hw3-2,c14.1,997002999,24.074,1.900,0.784,21.390,0.564,0.391,0.945
hw3-2,c15.1,469097433,22.900,1.329,0.510,21.060,0.489,0.299,0.541
hw3-2,c16.1,-919967296,77.057,4.656,1.729,70.672,0.824,0.774,3.058
hw3-2,c17.1,671065408,199.588,10.053,3.041,186.494,1.030,1.091,7.932
hw3-2,c18.1,1230196224,335.809,23.835,6.273,305.701,1.268,1.793,20.774
hw3-2,c19.1,671065408,358.649,10.088,3.321,345.240,1.067,1.098,7.923
hw3-2,c20.1,445948416,1078.025,111.348,17.452,949.225,2.087,3.891,105.370
hw3-2,c21.1,445948416,1141.204,121.089,17.624,1002.491,2.207,4.290,114.592
hw3-2,p11k1,-439861760,2024.360,1142.565,79.072,802.723,4.426,15.727,1122.412
hw3-2,p12k1,876033849,2685.251,1424.014,91.059,1170.178,4.701,17.808,1401.505
hw3-2,p13k1,-2023255552,3232.073,1945.196,111.360,1175.518,5.380,22.124,1917.692
hw3-2,p14k1,-1267622173,3957.370,2282.340,124.399,1550.631,5.606,23.984,2252.750
hw3-2,p15k1,-844294656,4965.963,2917.176,147.060,1901.727,6.100,28.142,2882.934
hw3-2,p16k1,-1398800384,5645.435,3436.070,161.930,2047.435,6.070,29.347,3400.653
hw3-2,p17k1,-442586624,6739.823,4249.380,187.311,2303.133,7.122,35.525,4206.733
hw3-2,p18k1,1018429440,7909.461,4744.065,200.645,2964.751,7.330,37.590,4699.145
hw3-2,p19k1,-1467232741,8050.948,5730.730,228.405,2091.812,7.381,41.185,5682.165
hw3-2,p20k1,-1524072448,9751.982,6998.260,255.484,2498.239,8.125,48.141,6941.994
hw3-2,p21k1,-1547048545,11333.323,7804.112,279.453,3249.758,12.490,56.246,7735.376
hw3-2,p22k1,776073216,12631.104,9197.669,307.890,3125.545,9.981,58.091,9129.597
hw3-2,p23k1,-491395291,14083.251,10337.506,333.933,3411.812,10.690,61.123,10265.692
hw3-2,p24k1,-1499725824,18838.828,11361.173,364.274,7113.380,9.191,62.760,11289.223
hw3-2,p25k1,-91022848,18705.974,13975.721,394.360,4335.894,10.139,71.030,13894.552
hw3-2,p26k1,183794529,20278.095,15501.089,423.291,4353.715,15.624,85.393,15400.072
hw3-2,p27k1,-835117568,23425.144,16630.994,461.447,6332.703,10.668,81.078,16539.248
hw3-2,p28k1,422150144,24844.125,19122.506,498.670,5222.949,11.775,90.730,19020.002
hw3-2,p29k1,1655414735,27847.116,20539.999,527.147,6779.970,11.326,93.171,20435.502
hw3-2,p30k1,1835577344,30289.586,23004.281,569.171,6716.133,12.180,100.288,22891.812
hw3-2,p31k1,1106834944,33961.596,25786.306,611.074,7564.217,13.447,109.917,25662.941
hw3-2,p32k1,1694498816,35882.167,28218.480,647.280,7016.407,12.889,113.449,28092.143
hw3-2,p33k1,1008634368,38816.087,31004.876,692.472,7118.739,13.579,123.837,30867.461
hw3-2,p34k1,754274304,42353.340,32745.482,731.047,8876.811,13.445,122.962,32609.074
hw3-2,p35k1,729072121,54174.902,35695.176,771.704,17708.022,18.478,137.534,35539.164
hw3-2,p36k1,-1048311275,52314.452,39628.939,818.599,11866.914,15.121,142.419,39471.398
hw3-2,p37k1,1343646208,60297.163,45374.855,866.158,14056.151,16.602,162.331,45195.922
hw3-2,p38k1,1333933771,57888.705,46756.267,912.096,10220.342,20.983,161.459,46573.824
hw3-2,p39k1,-2058335527,60850.342,50842.260,957.406,9050.676,19.664,173.190,50649.406
hw3-2,p40k1,-356921839,70216.162,58418.562,1017.227,10780.374,17.661,191.475,58209.426
