Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_16,16,p11k1,2033.012,1151.911
hw3-2_unroll_16,16,p12k1,2743.031,1422.145
hw3-2_unroll_16,16,p13k1,3461.768,1992.869
hw3-2_unroll_16,16,p14k1,4014.289,2289.501
hw3-2_unroll_16,16,p15k1,5060.265,2971.807
hw3-2_unroll_16,16,p16k1,5764.070,3541.530
hw3-2_unroll_16,16,p17k1,6709.331,4327.511
hw3-2_unroll_16,16,p18k1,7689.881,4818.854
hw3-2_unroll_16,16,p19k1,8443.759,5962.855
hw3-2_unroll_16,16,p20k1,9875.225,7160.863
hw3-2_unroll_16,16,p21k1,11109.394,8052.165
hw3-2_unroll_16,16,p22k1,12329.364,9272.087
hw3-2_unroll_16,16,p23k1,14328.260,10637.291
hw3-2_unroll_16,16,p24k1,17162.294,11965.383
hw3-2_unroll_16,16,p25k1,18644.370,14150.145
hw3-2_unroll_16,16,p26k1,19493.158,15214.688
hw3-2_unroll_16,16,p27k1,24402.642,17251.190
hw3-2_unroll_16,16,p28k1,24669.419,19327.256
hw3-2_unroll_16,16,p29k1,27735.718,20398.227
hw3-2_unroll_16,16,p30k1,30103.891,23613.804
hw3-2_unroll_16,16,p31k1,36371.167,26426.852
hw3-2_unroll_16,16,p32k1,38736.334,31497.441
hw3-2_unroll_16,16,p33k1,39704.414,31169.567
hw3-2_unroll_16,16,p34k1,51312.546,37054.471
hw3-2_unroll_16,16,p35k1,48323.931,37198.491
hw3-2_unroll_16,16,p36k1,55194.517,40791.708
hw3-2_unroll_16,16,p37k1,57823.576,43389.203
hw3-2_unroll_16,16,p38k1,58794.668,48524.619
hw3-2_unroll_16,16,p39k1,68513.100,57172.818
hw3-2_unroll_16,16,p40k1,90972.727,66190.463
hw3-2_unroll_32,32,p11k1,2528.576,1191.189
hw3-2_unroll_32,32,p12k1,2969.393,1425.257
hw3-2_unroll_32,32,p13k1,3289.090,1899.519
hw3-2_unroll_32,32,p14k1,3967.999,2283.199
hw3-2_unroll_32,32,p15k1,4966.000,2887.980
hw3-2_unroll_32,32,p16k1,5938.247,3586.383
hw3-2_unroll_32,32,p17k1,6897.381,4159.227
hw3-2_unroll_32,32,p18k1,7680.503,4750.265
hw3-2_unroll_32,32,p19k1,8371.440,5859.677
hw3-2_unroll_32,32,p20k1,10121.684,7018.163
hw3-2_unroll_32,32,p21k1,11167.818,7925.876
hw3-2_unroll_32,32,p22k1,12553.249,9049.945
hw3-2_unroll_32,32,p23k1,13585.520,10022.529
hw3-2_unroll_32,32,p24k1,17143.485,11622.708
hw3-2_unroll_32,32,p25k1,19274.138,14092.888
hw3-2_unroll_32,32,p26k1,19521.299,14829.173
hw3-2_unroll_32,32,p27k1,23839.674,17015.986
hw3-2_unroll_32,32,p28k1,23780.928,18384.945
hw3-2_unroll_32,32,p29k1,29130.930,20688.987
hw3-2_unroll_32,32,p30k1,30278.671,23945.766
hw3-2_unroll_32,32,p31k1,33498.278,25369.530
hw3-2_unroll_32,32,p32k1,36943.962,29001.787
hw3-2_unroll_32,32,p33k1,40735.894,30079.356
hw3-2_unroll_32,32,p34k1,46789.029,34012.599
hw3-2_unroll_32,32,p35k1,53964.149,36251.552
hw3-2_unroll_32,32,p36k1,55783.021,40404.947
hw3-2_unroll_32,32,p37k1,56894.802,41931.836
hw3-2_unroll_32,32,p38k1,61946.236,51091.075
hw3-2_unroll_32,32,p39k1,61710.037,50525.139
hw3-2_unroll_32,32,p40k1,66403.094,54191.111
hw3-2_unroll_4,4,p11k1,2501.217,1228.476
hw3-2_unroll_4,4,p12k1,3301.247,1558.831
hw3-2_unroll_4,4,p13k1,3438.006,2046.160
hw3-2_unroll_4,4,p14k1,4207.052,2448.351
hw3-2_unroll_4,4,p15k1,5279.099,3094.110
hw3-2_unroll_4,4,p16k1,6063.331,3754.103
hw3-2_unroll_4,4,p17k1,7093.586,4527.343
hw3-2_unroll_4,4,p18k1,8521.742,5078.438
