Version,AblationTarget,Testcase,TotalTime_ms,ComputeTime_ms,CommTime_ms,IOTime_ms
hw3-2_baseline,Unknown,p11k1,1669.561,389.598,56.599,1223.364
hw3-2_baseline,Unknown,p12k1,2099.209,479.184,65.436,1554.589
hw3-2_baseline,Unknown,p13k1,2386.001,646.499,78.837,1660.665
hw3-2_baseline,Unknown,p14k1,2909.832,773.169,89.154,2047.508
hw3-2_baseline,Unknown,p15k1,3599.350,982.088,104.333,2512.929
hw3-2_baseline,Unknown,p16k1,4062.136,1181.745,117.959,2762.432
hw3-2_baseline,Unknown,p17k1,4576.799,1429.380,133.947,3013.471
hw3-2_baseline,Unknown,p18k1,5362.344,1610.208,146.297,3605.839
hw3-2_baseline,Unknown,p19k1,5444.375,2037.907,166.795,3239.673
hw3-2_baseline,Unknown,p20k1,6052.641,2388.842,184.814,3478.986
hw3-2_baseline,Unknown,p21k1,7310.190,2721.088,207.346,4381.756
hw3-2_baseline,Unknown,p22k1,8514.138,3145.914,228.575,5139.649
hw3-2_baseline,Unknown,p23k1,9841.057,3590.819,252.547,5997.691
hw3-2_baseline,Unknown,p24k1,12990.596,3990.293,275.572,8724.731
hw3-2_baseline,Unknown,p25k1,13436.360,4562.228,301.203,8572.930
hw3-2_default_unroll,Unknown,p11k1,2007.202,444.804,56.627,1505.772
hw3-2_default_unroll,Unknown,p12k1,2215.410,545.294,65.295,1604.821
hw3-2_default_unroll,Unknown,p13k1,2502.933,736.196,79.098,1687.639
hw3-2_default_unroll,Unknown,p14k1,3097.307,878.956,89.688,2128.663
hw3-2_default_unroll,Unknown,p15k1,3748.728,1117.710,104.688,2526.330
hw3-2_default_unroll,Unknown,p16k1,4242.690,1350.796,118.201,2773.693
hw3-2_default_unroll,Unknown,p17k1,4720.913,1633.781,133.917,2953.215
hw3-2_default_unroll,Unknown,p18k1,5614.438,1832.010,144.839,3637.589
hw3-2_default_unroll,Unknown,p19k1,5680.819,2318.362,166.966,3195.491
hw3-2_default_unroll,Unknown,p20k1,6341.836,2720.114,184.970,3436.752
hw3-2_default_unroll,Unknown,p21k1,7243.700,3106.880,203.029,3933.791
hw3-2_default_unroll,Unknown,p22k1,8009.863,3595.600,223.067,4191.196
hw3-2_default_unroll,Unknown,p23k1,9056.933,4066.210,242.894,4747.829
hw3-2_default_unroll,Unknown,p24k1,11769.512,4554.554,268.090,6946.868
hw3-2_default_unroll,Unknown,p25k1,12429.751,5205.321,294.182,6930.248
hw3-2_no_launch_bound,Unknown,p11k1,2001.764,439.543,56.716,1505.505
hw3-2_no_launch_bound,Unknown,p12k1,2166.433,539.005,65.209,1562.219
hw3-2_no_launch_bound,Unknown,p13k1,2488.644,727.060,79.321,1682.263
hw3-2_no_launch_bound,Unknown,p14k1,3105.323,868.441,89.705,2147.177
hw3-2_no_launch_bound,Unknown,p15k1,3762.693,1101.914,104.483,2556.295
hw3-2_no_launch_bound,Unknown,p16k1,4249.090,1331.090,118.144,2799.856
hw3-2_no_launch_bound,Unknown,p17k1,4705.529,1610.491,134.042,2960.996
hw3-2_no_launch_bound,Unknown,p18k1,5522.094,1807.696,145.105,3569.292
