Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
0,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.4375000000,0.0000000000,4,1112,33795
1,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,1,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.2500000000,0.0000000000,628,177216,26156
2,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,1,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,672.5625000000,0.0000000000,628,159120,27180
3,"kernel_phase3(int*, int, int) [clone .kd]",2,0,7,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98683.5000000000,93731.7500000000,98596,28716480,317413
4,"kernel_phase1(int*, int, int) [clone .kd]",2,0,12,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36712
5,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,7,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.1250000000,0.0000000000,628,177216,25792
6,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,7,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,670.2500000000,0.0000000000,628,159120,25825
7,"kernel_phase3(int*, int, int) [clone .kd]",2,0,18,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98662.7500000000,93711.2500000000,98596,28716480,317432
8,"kernel_phase1(int*, int, int) [clone .kd]",2,0,23,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36456
9,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,13,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.9375000000,0.0000000000,628,177216,26280
10,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,13,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,670.0000000000,0.0000000000,628,159120,25524
11,"kernel_phase3(int*, int, int) [clone .kd]",2,0,29,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98673.3750000000,93738.9375000000,98596,28716480,320460
12,"kernel_phase1(int*, int, int) [clone .kd]",2,0,34,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,35628
13,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,19,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,653.6250000000,0.0000000000,628,177216,26153
14,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,19,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,672.7500000000,0.0000000000,628,159120,24616
15,"kernel_phase3(int*, int, int) [clone .kd]",2,0,40,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98672.3125000000,93707.4375000000,98596,28716480,319068
16,"kernel_phase1(int*, int, int) [clone .kd]",2,0,45,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36400
17,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,25,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,651.3125000000,0.0000000000,628,177216,26028
18,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,25,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,675.1875000000,0.0000000000,628,159120,26349
