Version,BR,BC,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_128_16,128,16,t01,39.927,26.967,7.024,5.936
hw4_128_16,128,16,t02,39.526,26.902,6.471,6.153
hw4_128_16,128,16,t03,43.901,25.219,7.248,11.434
hw4_128_16,128,16,t04,62.903,43.462,7.440,12.001
hw4_128_16,128,16,t05,54.022,25.561,6.442,22.018
hw4_128_16,128,16,t06,56.637,27.179,6.485,22.973
hw4_128_16,128,16,t07,71.612,21.716,6.304,43.592
hw4_128_16,128,16,t08,73.759,20.924,6.969,45.866
hw4_128_16,128,16,t09,131.259,37.180,6.910,87.169
hw4_128_16,128,16,t10,124.033,27.266,6.475,90.293
hw4_128_16,128,16,t11,1416.073,984.845,216.497,214.731
hw4_128_16,128,16,t12,1929.861,1316.596,301.709,311.556
hw4_128_16,128,16,t13,1351.702,768.905,202.687,380.110
hw4_128_16,128,16,t14,814.146,443.063,126.795,244.288
hw4_128_16,128,16,t15,1171.228,515.470,128.862,526.896
hw4_128_16,128,16,t16,809.627,320.837,103.009,385.780
hw4_128_16,128,16,t17,1299.626,444.802,102.433,752.391
hw4_128_16,128,16,t18,962.389,297.270,76.278,588.841
hw4_128_16,128,16,t19,1523.041,321.708,76.201,1125.132
hw4_128_16,128,16,t20,1039.600,204.747,51.624,783.229
hw4_128_16,128,16,t21,2474.042,471.687,127.130,1875.225
hw4_128_16,128,16,t22,5097.251,964.374,256.212,3876.665
hw4_128_16,128,16,t23,1810.693,201.111,52.578,1557.004
hw4_128_16,128,16,t24,3500.641,322.462,102.633,3075.546
hw4_128_16,128,16,t25,1965.889,138.361,31.568,1795.960
hw4_128_16,128,16,t26,1393.570,91.965,22.175,1279.430
hw4_128_16,128,16,t27,2507.732,95.114,21.681,2390.937
hw4_128_16,128,16,t28,2098.480,57.205,17.575,2023.700
hw4_128_16,128,16,t29,3897.185,73.953,17.992,3805.240
hw4_128_16,128,16,t30,4045.744,54.445,17.815,3973.484
hw4_128_32,128,32,t01,56.226,43.216,7.091,5.918
hw4_128_32,128,32,t02,36.319,23.129,7.163,6.026
hw4_128_32,128,32,t03,37.348,21.074,6.671,9.604
hw4_128_32,128,32,t04,45.845,27.258,6.976,11.611
hw4_128_32,128,32,t05,48.600,20.145,6.661,21.795
hw4_128_32,128,32,t06,50.654,21.682,6.326,22.646
hw4_128_32,128,32,t07,64.389,16.685,6.259,41.445
hw4_128_32,128,32,t08,77.268,26.097,6.368,44.804
hw4_128_32,128,32,t09,117.730,23.745,6.870,87.115
hw4_128_32,128,32,t10,118.384,21.262,6.867,90.256
hw4_128_32,128,32,t11,1341.832,897.896,233.440,210.496
hw4_128_32,128,32,t12,2132.958,1500.962,301.048,330.947
hw4_128_32,128,32,t13,1527.834,908.794,204.376,414.664
hw4_128_32,128,32,t14,907.967,517.917,131.350,258.700
hw4_128_32,128,32,t15,940.745,343.429,127.164,470.152
hw4_128_32,128,32,t16,971.800,458.452,102.370,410.978
hw4_128_32,128,32,t17,1241.198,350.636,102.577,787.985
hw4_128_32,128,32,t18,957.734,266.034,77.671,614.029
hw4_128_32,128,32,t19,1521.475,263.000,77.490,1180.985
hw4_128_32,128,32,t20,1002.625,133.472,52.378,816.775
hw4_128_32,128,32,t21,2528.465,431.629,128.831,1968.005
hw4_128_32,128,32,t22,5229.515,893.737,251.400,4084.378
hw4_128_32,128,32,t23,1833.841,231.777,52.710,1549.354
hw4_128_32,128,32,t24,3560.735,270.575,104.779,3185.381
hw4_128_32,128,32,t25,2034.645,158.371,33.833,1842.441
hw4_128_32,128,32,t26,1418.256,104.889,21.669,1291.698
hw4_128_32,128,32,t27,2581.978,102.607,23.379,2455.992
hw4_128_32,128,32,t28,2181.332,68.696,18.030,2094.605
hw4_128_32,128,32,t29,3969.911,61.149,18.288,3890.474
hw4_128_32,128,32,t30,4273.212,63.056,17.643,4192.513
hw4_128_8,128,8,t01,42.867,28.872,7.442,6.553
hw4_128_8,128,8,t02,52.230,38.897,6.970,6.364
hw4_128_8,128,8,t03,42.228,23.302,6.322,12.604
hw4_128_8,128,8,t04,41.807,22.955,6.686,12.166
hw4_128_8,128,8,t05,47.497,16.489,6.296,24.712
hw4_128_8,128,8,t06,53.514,25.994,6.977,20.543
hw4_128_8,128,8,t07,72.414,16.781,6.322,49.311
hw4_128_8,128,8,t08,63.080,16.105,6.371,40.605
hw4_128_8,128,8,t09,146.292,39.747,6.676,99.869
hw4_128_8,128,8,t10,115.396,25.054,6.381,83.961
