ExeName,VersionID,Description,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_0_baseline,0,baseline,t01,105.842,24.450,6.716,74.676
hw4_0_baseline,0,baseline,t02,93.495,17.034,6.429,70.031
hw4_0_baseline,0,baseline,t03,103.073,20.436,6.636,76.001
hw4_0_baseline,0,baseline,t04,102.246,26.676,6.416,69.154
hw4_0_baseline,0,baseline,t05,85.774,17.272,6.286,62.216
hw4_0_baseline,0,baseline,t06,89.378,20.644,6.910,61.824
hw4_0_baseline,0,baseline,t07,132.781,23.366,6.169,103.246
hw4_0_baseline,0,baseline,t08,131.089,20.714,6.759,103.617
hw4_0_baseline,0,baseline,t09,139.929,25.445,6.257,108.227
hw4_0_baseline,0,baseline,t10,134.752,25.120,6.115,103.517
hw4_0_baseline,0,baseline,t11,3522.101,591.859,215.837,2714.405
hw4_0_baseline,0,baseline,t12,4981.732,1015.616,299.086,3667.030
hw4_0_baseline,0,baseline,t13,3295.722,547.050,204.650,2544.021
hw4_0_baseline,0,baseline,t14,2103.146,478.400,126.898,1497.848
hw4_0_baseline,0,baseline,t15,2205.891,428.766,127.426,1649.699
hw4_0_baseline,0,baseline,t16,1686.268,389.844,103.849,1192.575
hw4_0_baseline,0,baseline,t17,2597.776,403.084,102.092,2092.600
hw4_0_baseline,0,baseline,t18,1813.294,196.779,78.884,1537.631
hw4_0_baseline,0,baseline,t19,1861.201,212.315,81.623,1567.264
hw4_0_baseline,0,baseline,t20,1289.330,201.690,54.487,1033.152
hw4_0_baseline,0,baseline,t21,3141.034,329.395,128.268,2683.371
hw4_0_baseline,0,baseline,t22,6151.267,658.395,249.430,5243.442
hw4_0_baseline,0,baseline,t23,2280.996,188.651,51.424,2040.921
hw4_0_baseline,0,baseline,t24,4671.404,351.960,102.777,4216.667
hw4_0_baseline,0,baseline,t25,2581.398,119.750,31.976,2429.671
hw4_0_baseline,0,baseline,t26,1759.054,93.908,21.549,1643.597
