[apollo01:352079] SET UCX_TLS=ud_verbs
UCX_TLS=ud_verbs
0x562a36ec46e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x556cb6f1a6e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x556cb6f1a6e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x562a36ec46e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
# OSU MPI Bandwidth Test v5.3
# Size      Bandwidth (MB/s)
1                       1.56
2                       5.46
4                      11.14
8                      22.12
16                     42.33
32                     85.55
64                    164.76
128                   298.58
256                   344.66
512                   614.41
1024                 1054.45
2048                 1628.05
4096                 1739.29
8192                 1971.63
16384                2209.82
32768                2311.90
65536                2395.03
131072               2271.95
262144               2421.26
524288               2432.10
1048576              2443.44
2097152              2434.95
4194304              2358.18
