[apollo01:352017] SET UCX_TLS=all
UCX_TLS=all
0x56143f5f86e0 self cfg#0 tag(self/memory cma/memory)
UCX_TLS=all
0x5642a236c6e0 self cfg#0 tag(self/memory cma/memory)
UCX_TLS=all
0x5642a236c6e0 intra-node cfg#1 tag(sysv/memory cma/memory)
UCX_TLS=all
0x56143f5f86e0 intra-node cfg#1 tag(sysv/memory cma/memory)
# OSU MPI Latency Test v5.3
# Size          Latency (us)
0                       0.22
1                       0.21
2                       0.21
4                       0.21
8                       0.21
16                      0.21
32                      0.24
64                      0.25
128                     0.36
256                     0.38
512                     0.42
1024                    0.50
2048                    0.67
4096                    0.98
8192                    1.69
16384                   3.01
32768                   4.82
65536                   8.35
131072                 17.11
262144                 34.64
524288                 62.86
1048576               121.51
2097152               239.50
4194304               907.70
