[apollo01:351884] SET UCX_TLS=ud_verbs
UCX_TLS=ud_verbs
0x55559a0c06e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x557d7c1436e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x557d7c1436e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x55559a0c06e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
# OSU MPI Latency Test v5.3
# Size          Latency (us)
0                       1.83
1                       1.83
2                       1.83
4                       1.82
8                       1.84
16                      1.96
32                      1.98
64                      2.05
128                     2.17
256                     3.86
512                     4.00
1024                    4.69
2048                    6.15
4096                    9.49
8192                   11.06
16384                  14.95
32768                  22.89
65536                  37.92
131072                 64.49
262144                126.99
524288                237.50
1048576               458.52
2097152               931.03
4194304              1860.75
