[apollo01:352702] SET UCX_TLS=ud_verbs
UCX_TLS=ud_verbs
0x55e7872006e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x559f2ba576e0 self cfg#0 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x55e7872006e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
UCX_TLS=ud_verbs
0x559f2ba576e0 intra-node cfg#1 tag(ud_verbs/ibp3s0:1)
# OSU MPI_Put Bandwidth Test v5.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      25.40
2                      50.69
4                     102.13
8                     200.94
16                    418.70
32                    837.61
64                   1598.10
128                  3139.65
256                  5612.73
512                 10039.09
1024                12124.49
2048                14584.46
4096                15038.42
8192                11042.44
16384               10974.52
32768               11170.47
65536               11293.31
131072              11003.83
262144               5534.01
524288               4987.46
1048576              5123.66
2097152              4988.34
4194304              5155.96
